Index,Location,Duration (min),Time interval
E-01,BJB-QHZ,30,07:40-08:10
E-02,QHZ-CPZ,30,07:40-08:10
E-03,CPZ-BDL,30,07:40-08:10
E-04,BDL-DHY,30,07:40-08:10
E-05,DHY-HLZ,30,07:40-08:10
E-06,HLZ-XHY,30,07:40-08:10
E-07,XHY-XHB,30,07:40-08:10
E-08,XHB-ZJK,30,07:40-08:10
E-09,BJB-QHZ,60,07:40-08:40
E-10,QHZ-CPZ,60,07:40-08:40
E-11,CPZ-BDL,60,07:40-08:40
E-12,BDL-DHY,60,07:40-08:40
E-13,DHY-HLZ,60,07:40-08:40
E-14,HLZ-XHY,60,07:40-08:40
E-15,XHY-XHB,60,07:40-08:40
E-16,XHB-ZJK,60,07:40-08:40
E-17,QHZ-CPZ,30,09:20-09:50
E-18,QHZ-CPZ,30,10:10-10:40
E-19,QHZ-CPZ,30,11:50-12:20
E-20,QHZ-CPZ,30,14:20-14:50
E-21,QHZ-CPZ,30,15:10-15:40
E-22,QHZ-CPZ,30,19:20-19:50
E-23,QHZ-CPZ,30,20:10-20:40
E-24,QHZ-CPZ,60,09:20-10:20
E-25,QHZ-CPZ,60,10:10-11:10
E-26,QHZ-CPZ,60,11:50-12:50
E-27,QHZ-CPZ,60,14:20-15:20
E-28,QHZ-CPZ,60,15:10-16:10
E-29,QHZ-CPZ,60,19:20-20:20
E-30,QHZ-CPZ,60,20:10-21:10
