Location,Duration (min),Time interval,Heuristics,Cuts,MIPFocus,AggFill,Obj (min),Time (s)
BDL-DHY,30,06:00-06:30,0.0001,0,1,-1,1,14.053
BDL-DHY,30,06:00-06:30,0.001,0,0,1,1,14.112
BDL-DHY,30,06:00-06:30,0.1,0,0,0,1,14.942
BDL-DHY,30,06:00-06:30,0.05,0,1,10,1,15.128
BDL-DHY,30,06:00-06:30,0.1,0,2,100,1,15.162
BDL-DHY,30,06:00-06:30,0.005,0,0,100,1,15.225
BDL-DHY,30,06:00-06:30,0.5,0,1,10,1,15.229
BDL-DHY,30,06:00-06:30,0.001,-1,1,1000,1,15.27
BDL-DHY,30,08:00-08:30,0.001,0,0,0,70,12.963
BDL-DHY,30,08:00-08:30,0.001,0,0,-1,70,13.02
BDL-DHY,30,08:00-08:30,0.001,0,0,-1,70,13.053
BDL-DHY,30,08:00-08:30,0.0005,0,1,10,70,13.059
BDL-DHY,30,08:00-08:30,0.0005,0,1,10,70,13.065
BDL-DHY,30,08:00-08:30,0.01,0,0,-1,70,13.068
BDL-DHY,30,08:00-08:30,0.005,0,1,-1,70,13.103
BDL-DHY,30,08:00-08:30,0.005,0,0,-1,70,13.113
BDL-DHY,30,08:30-09:00,0.0001,0,0,0,32,14.789
BDL-DHY,30,08:30-09:00,0.005,0,1,0,32,14.821
BDL-DHY,30,08:30-09:00,0.001,0,1,-1,32,14.924
BDL-DHY,30,08:30-09:00,0.5,0,0,10,32,15.478
BDL-DHY,30,08:30-09:00,0.01,2,0,0,32,16.984
BDL-DHY,30,08:30-09:00,0.005,2,0,-1,32,17.032
BDL-DHY,30,08:30-09:00,0.0001,2,1,-1,32,17.052
BDL-DHY,30,08:30-09:00,0.005,1,0,1,32,17.09
BDL-DHY,30,09:00-09:30,0.0005,-1,1,100,62,11.919
BDL-DHY,30,09:00-09:30,0.001,1,1,1000,62,11.957
BDL-DHY,30,09:00-09:30,0.001,0,1,1000,62,11.962
BDL-DHY,30,09:00-09:30,0.005,2,1,1000,62,11.967
BDL-DHY,30,09:00-09:30,0.0005,2,0,1000,62,11.97
BDL-DHY,30,09:00-09:30,0.005,2,1,1000,62,11.987
BDL-DHY,30,09:00-09:30,0.01,1,1,100,62,12.091
BDL-DHY,30,09:00-09:30,0.01,2,0,1000,62,12.098
BDL-DHY,30,09:30-10:00,0.0001,0,1,10,64,11.751
BDL-DHY,30,09:30-10:00,0.0005,0,1,1,64,12.382
BDL-DHY,30,09:30-10:00,0.0005,0,1,1,64,12.423
BDL-DHY,30,09:30-10:00,0.001,0,1,0,64,12.504
BDL-DHY,30,09:30-10:00,0.0001,0,0,-1,64,12.598
BDL-DHY,30,09:30-10:00,0.5,0,1,10,64,12.73
BDL-DHY,30,09:30-10:00,0.5,0,0,10,64,12.792
BDL-DHY,30,09:30-10:00,0.1,0,0,-1,64,13.295
BDL-DHY,30,10:00-10:30,0.001,0,1,1000,30,10.213
BDL-DHY,30,10:00-10:30,0.001,1,1,1000,30,10.492
BDL-DHY,30,10:00-10:30,0.005,1,1,100,30,10.515
BDL-DHY,30,10:00-10:30,0.001,1,1,100,30,10.517
BDL-DHY,30,10:00-10:30,0.005,-1,1,100,30,10.522
BDL-DHY,30,10:00-10:30,0.01,-1,0,1000,30,10.691
BDL-DHY,30,10:00-10:30,0.001,2,0,100,30,11.026
BDL-DHY,30,10:00-10:30,0.005,2,1,1000,30,11.114
BDL-DHY,30,10:30-11:00,0.005,0,1,100,77,10.216
BDL-DHY,30,10:30-11:00,0.001,0,1,1000,77,10.264
BDL-DHY,30,10:30-11:00,0.01,0,0,100,77,10.453
BDL-DHY,30,10:30-11:00,0.0001,-1,1,1000,77,10.643
BDL-DHY,30,10:30-11:00,0.01,-1,1,1000,77,10.896
BDL-DHY,30,10:30-11:00,0.0001,2,0,100,77,11.29
BDL-DHY,30,10:30-11:00,0.01,2,1,100,77,11.396
BDL-DHY,30,10:30-11:00,0.05,0,0,1000,77,12.123
BDL-DHY,30,11:00-11:30,0.005,0,0,-1,49,9.28
BDL-DHY,30,11:00-11:30,0.0001,0,1,0,49,9.327
BDL-DHY,30,11:00-11:30,0.1,0,0,-1,49,9.857
BDL-DHY,30,11:00-11:30,0.05,0,0,-1,49,9.861
BDL-DHY,30,11:00-11:30,0.05,0,1,1,49,9.867
BDL-DHY,30,11:00-11:30,0.5,0,0,-1,49,9.867
BDL-DHY,30,11:00-11:30,0.001,-1,0,100,49,10.229
BDL-DHY,30,11:00-11:30,0.0005,-1,1,1000,49,10.279
BDL-DHY,30,06:30-07:00,0.0005,0,0,0,0,13.25
BDL-DHY,30,06:30-07:00,0.005,0,0,-1,0,13.272
BDL-DHY,30,06:30-07:00,0.001,0,1,0,0,13.287
BDL-DHY,30,06:30-07:00,0.001,0,0,1,0,13.292
BDL-DHY,30,06:30-07:00,0.001,0,1,10,0,13.38
BDL-DHY,30,06:30-07:00,0.0001,0,1,10,0,13.392
BDL-DHY,30,06:30-07:00,0.0005,0,1,10,0,13.408
BDL-DHY,30,06:30-07:00,0.1,0,1,1,0,14.154
BDL-DHY,30,11:30-12:00,0.001,0,1,10,101,8.584
BDL-DHY,30,11:30-12:00,0.005,0,0,0,101,9.362
BDL-DHY,30,11:30-12:00,0.0001,0,1,0,101,9.38
BDL-DHY,30,11:30-12:00,0.1,0,0,10,101,9.921
BDL-DHY,30,11:30-12:00,0.001,0,0,100,101,11.006
BDL-DHY,30,11:30-12:00,0.005,0,1,100,101,11.173
